host,ip,port,protocol,title,domain,country,city,link,as_organization
https://tnowfc.fdu6we5ws-wjiq8.com:8886,65.49.236.124,8886,https,,fdu6we5ws-wjiq8.com,JP,Tokyo,https://tnowfc.fdu6we5ws-wjiq8.com:8886,IT7NET
https://188.253.22.45:9443,188.253.22.45,9443,https,,,JP,Tokyo,https://188.253.22.45:9443,AMAZON-02
47.245.13.130:8888,47.245.13.130,8888,http,,,JP,Tokyo,http://47.245.13.130:8888,"Alibaba US Technology Co., Ltd."
https://idbupnrx.nb-l0peksiglh.com:8889,65.49.237.237,8889,https,,nb-l0peksiglh.com,JP,Tokyo,https://idbupnrx.nb-l0peksiglh.com:8889,IT7NET
https://bodxsqij.kawfd7bf6db-faf2.com:8889,65.49.236.71,8889,https,,kawfd7bf6db-faf2.com,JP,Tokyo,https://bodxsqij.kawfd7bf6db-faf2.com:8889,IT7NET
https://sguwibab.iijkfn-iokft.com:8887,65.49.237.8,8887,https,,iijkfn-iokft.com,JP,Tokyo,https://sguwibab.iijkfn-iokft.com:8887,IT7NET
https://nwmvqdrq.kfwed3tu6w-jfw5.com:8889,65.49.236.71,8889,https,,kfwed3tu6w-jfw5.com,JP,Tokyo,https://nwmvqdrq.kfwed3tu6w-jfw5.com:8889,IT7NET
https://weehrqew.nb-l0peksiglh.com:8889,65.49.237.237,8889,https,,nb-l0peksiglh.com,JP,Tokyo,https://weehrqew.nb-l0peksiglh.com:8889,IT7NET
193.111.30.252:3000,193.111.30.252,3000,http,AKTV 高清高速數碼電視轉播站,,JP,Tokyo,http://193.111.30.252:3000,Owl Limited
193.111.30.252:3000,193.111.30.252,3000,http,,,JP,Tokyo,http://193.111.30.252:3000,Owl Limited
https://tggzrczh.fx1ofw6ac5-fdt0.com:8886,65.49.237.152,8886,https,,fx1ofw6ac5-fdt0.com,JP,Tokyo,https://tggzrczh.fx1ofw6ac5-fdt0.com:8886,IT7NET
https://jyorqonc.nr2gtg6ac5-xydk0.com:8886,65.49.237.152,8886,https,,nr2gtg6ac5-xydk0.com,JP,Tokyo,https://jyorqonc.nr2gtg6ac5-xydk0.com:8886,IT7NET
https://eyzdvvao.txczfa-fghhxh.com:8889,65.49.236.71,8889,https,,txczfa-fghhxh.com,JP,Tokyo,https://eyzdvvao.txczfa-fghhxh.com:8889,IT7NET
https://fewlsfsv.nb-l0peksiglh.com:8889,65.49.237.237,8889,https,,nb-l0peksiglh.com,JP,Tokyo,https://fewlsfsv.nb-l0peksiglh.com:8889,IT7NET
https://yptookki.kqwfbh-grrioi.com:8889,65.49.236.71,8889,https,,kqwfbh-grrioi.com,JP,Tokyo,https://yptookki.kqwfbh-grrioi.com:8889,IT7NET
https://syssiu.aoa6kf5pa-ewsre7.com:8886,65.49.236.124,8886,https,,aoa6kf5pa-ewsre7.com,JP,Tokyo,https://syssiu.aoa6kf5pa-ewsre7.com:8886,IT7NET
https://wrqokosy.jiojgm-jfdsr.com:8887,65.49.237.8,8887,https,,jiojgm-jfdsr.com,JP,Tokyo,https://wrqokosy.jiojgm-jfdsr.com:8887,IT7NET
https://mqiwlhyh.1rs2k-oyh7lpad.com:8889,65.49.237.237,8889,https,,1rs2k-oyh7lpad.com,JP,Tokyo,https://mqiwlhyh.1rs2k-oyh7lpad.com:8889,IT7NET
https://xtsvdycm.rcuant-rokfa.com:8887,65.49.237.8,8887,https,,rcuant-rokfa.com,JP,Tokyo,https://xtsvdycm.rcuant-rokfa.com:8887,IT7NET
https://fersogke.nb-l0peksiglh.com:8889,65.49.237.237,8889,https,,nb-l0peksiglh.com,JP,Tokyo,https://fersogke.nb-l0peksiglh.com:8889,IT7NET
https://etmrrycg.gdtq-ttkmm.com:8887,65.49.237.8,8887,https,,gdtq-ttkmm.com,JP,Tokyo,https://etmrrycg.gdtq-ttkmm.com:8887,IT7NET
158.101.150.73:2222,158.101.150.73,2222,http,,,JP,Tokyo,http://158.101.150.73:2222,ORACLE-BMC-31898
20.210.240.25:2222,20.210.240.25,2222,http,,,JP,Tokyo,http://20.210.240.25:2222,MICROSOFT-CORP-MSN-AS-BLOCK
128.22.112.54:12358,128.22.112.54,12358,http,,,JP,Kyoto,http://128.22.112.54:12358,OPTAGE Inc.
https://20.194.199.241:3000,20.194.199.241,3000,https,,,JP,Tokyo,https://20.194.199.241:3000,MICROSOFT-CORP-MSN-AS-BLOCK
https://idbcly.awonkj-anjkn.com:8887,65.49.237.8,8887,https,,awonkj-anjkn.com,JP,Tokyo,https://idbcly.awonkj-anjkn.com:8887,IT7NET
35.76.39.122:8888,35.76.39.122,8888,http,,,JP,Tokyo,http://35.76.39.122:8888,AMAZON-02
https://144.91.146.87:12362,144.91.146.87,12362,https,,,JP,Asahikawa,https://144.91.146.87:12362,"Asahikawa Cable Television Co., Ltd."
https://edduawxg.quuyt-tytket.com:8889,65.49.236.71,8889,https,,quuyt-tytket.com,JP,Tokyo,https://edduawxg.quuyt-tytket.com:8889,IT7NET
47.79.37.178:3000,47.79.37.178,3000,http,,,JP,Tokyo,http://47.79.37.178:3000,
47.79.37.178:3000,47.79.37.178,3000,http,AKTV 高清高速數碼電視轉播站,,JP,Tokyo,http://47.79.37.178:3000,
https://ggdurk.qaawef-qmkfs.com:8887,65.49.237.8,8887,https,,qaawef-qmkfs.com,JP,Tokyo,https://ggdurk.qaawef-qmkfs.com:8887,IT7NET
147.78.245.56:3000,147.78.245.56,3000,http,AKTV 高清高速數碼電視轉播站,,JP,Tokyo,http://147.78.245.56:3000,Owl Limited
147.78.245.56:3000,147.78.245.56,3000,http,,,JP,Tokyo,http://147.78.245.56:3000,Owl Limited
52.195.180.98:9001,52.195.180.98,9001,http,,,JP,Tokyo,http://52.195.180.98:9001,AMAZON-02
64.110.101.31:8888,64.110.101.31,8888,http,,,JP,Osaka,http://64.110.101.31:8888,ORACLE-BMC-31898
168.138.208.208:2222,168.138.208.208,2222,http,,,JP,Tokyo,http://168.138.208.208:2222,ORACLE-BMC-31898
