host,ip,port,protocol,title,domain,country,city,link,as_organization
https://218.146.80.126:11965,218.146.80.126,11965,https,,,KR,Seongnam,https://218.146.80.126:11965,Korea Telecom
121.128.161.235:12366,121.128.161.235,12366,http,,,KR,Seongnam,http://121.128.161.235:12366,Korea Telecom
https://211.52.207.14:12365,211.52.207.14,12365,https,,,KR,Busan,https://211.52.207.14:12365,SK Broadband Co Ltd
140.238.23.231:10086,140.238.23.231,10086,http,,,KR,Seoul,http://140.238.23.231:10086,ORACLE-BMC-31898
183.108.26.140:12362,183.108.26.140,12362,http,,,KR,Wonju,http://183.108.26.140:12362,Korea Telecom
146.56.149.103:3000,146.56.149.103,3000,http,,,KR,Seoul,http://146.56.149.103:3000,ORACLE-BMC-31898
119.196.243.164:12362,119.196.243.164,12362,http,,,KR,Bucheon,http://119.196.243.164:12362,Korea Telecom
118.33.194.63:12362,118.33.194.63,12362,http,,,KR,Gapyeong,http://118.33.194.63:12362,Korea Telecom
https://39.113.223.191:22533,39.113.223.191,22533,https,,,KR,Seoul,https://39.113.223.191:22533,SK Broadband Co Ltd
124.197.145.189:12366,124.197.145.189,12366,http,,,KR,Seoul,http://124.197.145.189:12366,SK Broadband Co Ltd
https://210.123.225.3:12366,210.123.225.3,12366,https,,,KR,Seoul,https://210.123.225.3:12366,Korea Telecom
59.2.135.67:50003,59.2.135.67,50003,http,,,KR,Seongnam,http://59.2.135.67:50003,Korea Telecom
https://211.230.13.243:12365,211.230.13.243,12365,https,,,KR,Daejeon,https://211.230.13.243:12365,Korea Telecom
https://118.91.4.6:12359,118.91.4.6,12359,https,,,KR,Seoul,https://118.91.4.6:12359,HCN Dongjak
121.169.143.219:12366,121.169.143.219,12366,http,,,KR,Seongnam,http://121.169.143.219:12366,Korea Telecom
1.246.152.128:12366,1.246.152.128,12366,http,,,KR,Seoul,http://1.246.152.128:12366,SK Broadband Co Ltd
https://112.184.33.140:12366,112.184.33.140,12366,https,,,KR,Jeju,https://112.184.33.140:12366,Korea Telecom
221.159.20.224:12364,221.159.20.224,12364,http,,,KR,Gunsan,http://221.159.20.224:12364,Korea Telecom
https://114.200.222.97:12366,114.200.222.97,12366,https,,,KR,Seoul,https://114.200.222.97:12366,SK Broadband Co Ltd
118.216.2.231:12363,118.216.2.231,12363,http,,,KR,Seoul,http://118.216.2.231:12363,SK Broadband Co Ltd
119.192.204.7:12363,119.192.204.7,12363,http,,,KR,Seoul,http://119.192.204.7:12363,Korea Telecom
113.199.23.82:12366,113.199.23.82,12366,http,,,KR,Seongnam,http://113.199.23.82:12366,ABN
59.11.89.252:12366,59.11.89.252,12366,http,,,KR,Seongnam,http://59.11.89.252:12366,Korea Telecom
https://175.199.89.200:12366,175.199.89.200,12366,https,,,KR,Seongnam,https://175.199.89.200:12366,Korea Telecom
https://222.106.89.183:12364,222.106.89.183,12364,https,,,KR,Seongnam,https://222.106.89.183:12364,Korea Telecom
https://61.106.187.203:12366,61.106.187.203,12366,https,,,KR,Seongnam,https://61.106.187.203:12366,Korea Telecom
https://118.34.4.223:12366,118.34.4.223,12366,https,,,KR,Seongnam,https://118.34.4.223:12366,Korea Telecom
222.104.240.250:12363,222.104.240.250,12363,http,,,KR,Seongnam,http://222.104.240.250:12363,Korea Telecom
https://59.25.212.18:12366,59.25.212.18,12366,https,,,KR,Seongnam,https://59.25.212.18:12366,Korea Telecom
14.41.44.168:12366,14.41.44.168,12366,http,,,KR,Seongnam,http://14.41.44.168:12366,Korea Telecom
https://14.51.80.94:12363,14.51.80.94,12363,https,,,KR,Seongnam,https://14.51.80.94:12363,Korea Telecom
https://220.74.111.206:12366,220.74.111.206,12366,https,,,KR,Seongnam,https://220.74.111.206:12366,Korea Telecom
115.23.43.201:12366,115.23.43.201,12366,http,,,KR,Seongnam,http://115.23.43.201:12366,Korea Telecom
https://211.221.117.198:12362,211.221.117.198,12362,https,,,KR,Seongnam,https://211.221.117.198:12362,Korea Telecom
https://58.124.11.106:12366,58.124.11.106,12366,https,,,KR,Seoul,https://58.124.11.106:12366,SK Broadband Co Ltd
https://61.247.124.229:12366,61.247.124.229,12366,https,,,KR,Seoul,https://61.247.124.229:12366,SK Broadband Co Ltd
118.33.206.76:12365,118.33.206.76,12365,http,,,KR,Namyangju,http://118.33.206.76:12365,Korea Telecom
59.17.252.84:12366,59.17.252.84,12366,http,,,KR,Namdong,http://59.17.252.84:12366,Korea Telecom
121.161.162.156:12365,121.161.162.156,12365,http,,,KR,Seongnam,http://121.161.162.156:12365,Korea Telecom
129.154.199.163:9443,129.154.199.163,9443,http,,,KR,Seoul,http://129.154.199.163:9443,ORACLE-BMC-31898
https://121.188.230.88:12365,121.188.230.88,12365,https,,,KR,Seongnam,https://121.188.230.88:12365,Korea Telecom
211.215.133.125:12362,211.215.133.125,12362,http,,,KR,Seoul,http://211.215.133.125:12362,SK Broadband Co Ltd
https://218.157.145.120:12362,218.157.145.120,12362,https,,,KR,Seongnam,https://218.157.145.120:12362,Korea Telecom
https://118.38.38.169:12365,118.38.38.169,12365,https,,,KR,Seongnam,https://118.38.38.169:12365,Korea Telecom
https://222.118.157.224:12360,222.118.157.224,12360,https,,,KR,Seongnam,https://222.118.157.224:12360,Korea Telecom
119.195.231.68:12360,119.195.231.68,12360,http,,,KR,Seongnam,http://119.195.231.68:12360,Korea Telecom
https://220.120.172.116:12365,220.120.172.116,12365,https,,,KR,Seongnam,https://220.120.172.116:12365,Korea Telecom
https://14.47.175.40:12365,14.47.175.40,12365,https,,,KR,Seongnam,https://14.47.175.40:12365,Korea Telecom
220.85.122.216:12365,220.85.122.216,12365,http,,,KR,Seongnam,http://220.85.122.216:12365,Korea Telecom
119.198.78.117:12360,119.198.78.117,12360,http,,,KR,Seongnam,http://119.198.78.117:12360,Korea Telecom
220.74.87.168:12360,220.74.87.168,12360,http,,,KR,Seongnam,http://220.74.87.168:12360,Korea Telecom
https://118.44.6.202:12365,118.44.6.202,12365,https,,,KR,Seongnam,https://118.44.6.202:12365,Korea Telecom
https://175.212.101.134:12365,175.212.101.134,12365,https,,,KR,Seongnam,https://175.212.101.134:12365,Korea Telecom
39.116.71.182:12365,39.116.71.182,12365,http,,,KR,Seoul,http://39.116.71.182:12365,SK Broadband Co Ltd
222.113.18.211:12365,222.113.18.211,12365,http,,,KR,Seongnam,http://222.113.18.211:12365,Korea Telecom
https://221.152.7.191:12365,221.152.7.191,12365,https,,,KR,Seongnam,https://221.152.7.191:12365,Korea Telecom
https://125.128.229.252:14443,125.128.229.252,14443,https,,,KR,Seongnam,https://125.128.229.252:14443,Korea Telecom
https://218.153.80.185:12359,218.153.80.185,12359,https,,,KR,Seongnam,https://218.153.80.185:12359,Korea Telecom
211.105.138.237:12365,211.105.138.237,12365,http,,,KR,Seongnam,http://211.105.138.237:12365,Korea Telecom
124.111.109.137:12359,124.111.109.137,12359,http,,,KR,Gwangmyeong,http://124.111.109.137:12359,SK Broadband Co Ltd
222.114.73.65:12359,222.114.73.65,12359,http,,,KR,Seongnam,http://222.114.73.65:12359,Korea Telecom
https://121.153.186.46:12358,121.153.186.46,12358,https,,,KR,Seongnam,https://121.153.186.46:12358,Korea Telecom
https://175.201.32.170:12365,175.201.32.170,12365,https,,,KR,Seongnam,https://175.201.32.170:12365,Korea Telecom
175.209.70.183:12365,175.209.70.183,12365,http,,,KR,Seongnam,http://175.209.70.183:12365,Korea Telecom
1.230.54.98:12358,1.230.54.98,12358,http,,,KR,Anyang,http://1.230.54.98:12358,SK Broadband Co Ltd
221.152.115.8:12358,221.152.115.8,12358,http,,,KR,Seongnam,http://221.152.115.8:12358,Korea Telecom
https://222.97.117.227:12364,222.97.117.227,12364,https,,,KR,Seongnam,https://222.97.117.227:12364,Korea Telecom
https://222.118.246.5:30303,222.118.246.5,30303,https,,,KR,Seongnam,https://222.118.246.5:30303,Korea Telecom
183.98.8.11:12364,183.98.8.11,12364,http,,,KR,Seongnam,http://183.98.8.11:12364,Korea Telecom
220.126.105.22:12358,220.126.105.22,12358,http,,,KR,Seongnam,http://220.126.105.22:12358,Korea Telecom
https://49.246.90.67:12358,49.246.90.67,12358,https,,,KR,Gwangju,https://49.246.90.67:12358,CMB Kwangju Broadcasting
125.139.243.71:12364,125.139.243.71,12364,http,,,KR,Seongnam,http://125.139.243.71:12364,Korea Telecom
https://221.161.40.174:12358,221.161.40.174,12358,https,,,KR,Seongnam,https://221.161.40.174:12358,Korea Telecom
59.1.166.218:12364,59.1.166.218,12364,http,,,KR,Jeonju,http://59.1.166.218:12364,Korea Telecom
121.164.215.251:12364,121.164.215.251,12364,http,,,KR,Namyangju,http://121.164.215.251:12364,Korea Telecom
https://27.35.68.191:12364,27.35.68.191,12364,https,,,KR,Gwangmyeong,https://27.35.68.191:12364,HYUNDAI COMMUNICATIONS NETWORK
https://125.191.209.164:10238,125.191.209.164,10238,https,,,KR,Seoul,https://125.191.209.164:10238,LG POWERCOMM
220.72.143.166:12364,220.72.143.166,12364,http,,,KR,Seongnam,http://220.72.143.166:12364,Korea Telecom
https://119.201.29.167:12364,119.201.29.167,12364,https,,,KR,Seongnam,https://119.201.29.167:12364,Korea Telecom
175.206.121.39:10250,175.206.121.39,10250,http,,,KR,Wonju,http://175.206.121.39:10250,Korea Telecom
https://59.26.1.222:12364,59.26.1.222,12364,https,,,KR,Seongnam,https://59.26.1.222:12364,Korea Telecom
https://121.154.97.193:12364,121.154.97.193,12364,https,,,KR,Jeonju,https://121.154.97.193:12364,Korea Telecom
125.135.65.240:12364,125.135.65.240,12364,http,,,KR,Seongnam,http://125.135.65.240:12364,Korea Telecom
119.193.12.243:12364,119.193.12.243,12364,http,,,KR,Seongnam,http://119.193.12.243:12364,Korea Telecom
https://222.238.48.167:12364,222.238.48.167,12364,https,,,KR,Yangsan,https://222.238.48.167:12364,SK Broadband Co Ltd
220.125.141.121:12364,220.125.141.121,12364,http,,,KR,Seongnam,http://220.125.141.121:12364,Korea Telecom
https://112.162.119.81:12364,112.162.119.81,12364,https,,,KR,Seongnam,https://112.162.119.81:12364,Korea Telecom
119.193.217.1:12364,119.193.217.1,12364,http,,,KR,Guri,http://119.193.217.1:12364,Korea Telecom
39.124.70.190:12364,39.124.70.190,12364,http,,,KR,Seoul,http://39.124.70.190:12364,SK Broadband Co Ltd
183.101.123.123:12363,183.101.123.123,12363,http,,,KR,Seongnam,http://183.101.123.123:12363,Korea Telecom
125.134.168.148:12363,125.134.168.148,12363,http,,,KR,Seongnam,http://125.134.168.148:12363,Korea Telecom
https://59.7.139.246:12363,59.7.139.246,12363,https,,,KR,Guri,https://59.7.139.246:12363,Korea Telecom
https://211.220.3.155:12363,211.220.3.155,12363,https,,,KR,Goseong,https://211.220.3.155:12363,Korea Telecom
https://118.216.204.236:12363,118.216.204.236,12363,https,,,KR,Seoul,https://118.216.204.236:12363,SK Broadband Co Ltd
125.133.242.221:12363,125.133.242.221,12363,http,,,KR,Seongnam,http://125.133.242.221:12363,Korea Telecom
https://59.26.140.23:12363,59.26.140.23,12363,https,,,KR,Seongnam,https://59.26.140.23:12363,Korea Telecom
125.137.144.191:12363,125.137.144.191,12363,http,,,KR,Seongnam,http://125.137.144.191:12363,Korea Telecom
14.47.175.40:12363,14.47.175.40,12363,http,,,KR,Seongnam,http://14.47.175.40:12363,Korea Telecom
59.18.217.182:12363,59.18.217.182,12363,http,,,KR,Seongnam,http://59.18.217.182:12363,Korea Telecom
https://124.51.198.93:10088,124.51.198.93,10088,https,,,KR,Seoul,https://124.51.198.93:10088,LG POWERCOMM
61.74.161.20:12363,61.74.161.20,12363,http,,,KR,Seongnam,http://61.74.161.20:12363,Korea Telecom
https://121.144.201.72:12363,121.144.201.72,12363,https,,,KR,Busan,https://121.144.201.72:12363,Korea Telecom
211.38.90.108:12363,211.38.90.108,12363,http,,,KR,Seongnam,http://211.38.90.108:12363,Korea Telecom
https://61.84.254.204:12363,61.84.254.204,12363,https,,,KR,Seongnam,https://61.84.254.204:12363,Korea Telecom
118.34.162.30:12363,118.34.162.30,12363,http,,,KR,Seongnam,http://118.34.162.30:12363,Korea Telecom
58.232.49.2:12363,58.232.49.2,12363,http,,,KR,Seoul,http://58.232.49.2:12363,SK Broadband Co Ltd
https://211.243.132.177:12363,211.243.132.177,12363,https,,,KR,Seoul,https://211.243.132.177:12363,SK Broadband Co Ltd
202.150.185.128:12363,202.150.185.128,12363,http,,,KR,Seoul,http://202.150.185.128:12363,HYUNDAI COMMUNICATIONS NETWORK
https://125.130.86.162:12363,125.130.86.162,12363,https,,,KR,Seongnam,https://125.130.86.162:12363,Korea Telecom
https://220.89.23.192:12363,220.89.23.192,12363,https,,,KR,Seongnam,https://220.89.23.192:12363,Korea Telecom
59.15.79.71:12363,59.15.79.71,12363,http,,,KR,Gwangmyeong,http://59.15.79.71:12363,Korea Telecom
183.96.16.104:12363,183.96.16.104,12363,http,,,KR,Seoul,http://183.96.16.104:12363,Korea Telecom
https://112.185.128.56:12363,112.185.128.56,12363,https,,,KR,Seongnam,https://112.185.128.56:12363,Korea Telecom
https://222.120.45.127:30013,222.120.45.127,30013,https,,,KR,Seongnam,https://222.120.45.127:30013,Korea Telecom
https://168.126.198.208:12363,168.126.198.208,12363,https,,,KR,Seongnam,https://168.126.198.208:12363,Korea Telecom
121.148.193.88:12363,121.148.193.88,12363,http,,,KR,Gwangju,http://121.148.193.88:12363,Korea Telecom
https://220.86.241.103:12363,220.86.241.103,12363,https,,,KR,Seongnam,https://220.86.241.103:12363,Korea Telecom
221.155.32.108:12363,221.155.32.108,12363,http,,,KR,Seongnam,http://221.155.32.108:12363,Korea Telecom
https://211.246.135.3:12363,211.246.135.3,12363,https,,,KR,Jinju,https://211.246.135.3:12363,Seokyung Cable Television Co.. Ltd.
119.193.12.243:12363,119.193.12.243,12363,http,,,KR,Seongnam,http://119.193.12.243:12363,Korea Telecom
59.7.104.174:12362,59.7.104.174,12362,http,,,KR,Seongnam,http://59.7.104.174:12362,Korea Telecom
1.253.134.202:12362,1.253.134.202,12362,http,,,KR,Ulsan,http://1.253.134.202:12362,SK Broadband Co Ltd
https://121.173.88.11:12362,121.173.88.11,12362,https,,,KR,Seongnam,https://121.173.88.11:12362,Korea Telecom
https://121.125.125.79:12362,121.125.125.79,12362,https,,,KR,Seoul,https://121.125.125.79:12362,SK Broadband Co Ltd
222.107.236.137:12362,222.107.236.137,12362,http,,,KR,Seongnam,http://222.107.236.137:12362,Korea Telecom
https://1.248.97.206:30048,1.248.97.206,30048,https,,,KR,Mokpo,https://1.248.97.206:30048,SK Broadband Co Ltd
211.108.166.193:12362,211.108.166.193,12362,http,,,KR,Seoul,http://211.108.166.193:12362,SK Broadband Co Ltd
125.134.168.148:12362,125.134.168.148,12362,http,,,KR,Seongnam,http://125.134.168.148:12362,Korea Telecom
220.127.214.177:12362,220.127.214.177,12362,http,,,KR,Seongnam,http://220.127.214.177:12362,Korea Telecom
110.35.252.32:12362,110.35.252.32,12362,http,,,KR,Seoul,http://110.35.252.32:12362,Gyeongbuk Cable TV
https://118.44.96.97:12362,118.44.96.97,12362,https,,,KR,Seongnam,https://118.44.96.97:12362,Korea Telecom
39.121.97.223:18001,39.121.97.223,18001,http,,,KR,Seoul,http://39.121.97.223:18001,SK Broadband Co Ltd
https://175.215.91.192:12362,175.215.91.192,12362,https,,,KR,Seongnam,https://175.215.91.192:12362,Korea Telecom
211.230.64.93:12361,211.230.64.93,12361,http,,,KR,Gunsan,http://211.230.64.93:12361,Korea Telecom
211.195.114.86:12362,211.195.114.86,12362,http,,,KR,Suwon,http://211.195.114.86:12362,Korea Telecom
130.162.157.187:3000,130.162.157.187,3000,http,,,KR,Seoul,http://130.162.157.187:3000,ORACLE-BMC-31898
125.130.43.83:12362,125.130.43.83,12362,http,,,KR,Seongnam,http://125.130.43.83:12362,Korea Telecom
https://14.48.96.104:12362,14.48.96.104,12362,https,,,KR,Seongnam,https://14.48.96.104:12362,Korea Telecom
175.198.156.202:12362,175.198.156.202,12362,http,,,KR,Bucheon,http://175.198.156.202:12362,Korea Telecom
121.181.132.45:12362,121.181.132.45,12362,http,,,KR,Seongnam,http://121.181.132.45:12362,Korea Telecom
61.83.185.188:12362,61.83.185.188,12362,http,,,KR,Cheonan,http://61.83.185.188:12362,Korea Telecom
https://121.161.162.156:12362,121.161.162.156,12362,https,,,KR,Seongnam,https://121.161.162.156:12362,Korea Telecom
218.149.8.99:12362,218.149.8.99,12362,http,,,KR,Seongnam,http://218.149.8.99:12362,Korea Telecom
59.0.22.49:22105,59.0.22.49,22105,http,,,KR,Seongnam,http://59.0.22.49:22105,Korea Telecom
222.112.148.14:12361,222.112.148.14,12361,http,,,KR,Seongnam,http://222.112.148.14:12361,Korea Telecom
https://14.56.101.240:12360,14.56.101.240,12360,https,,,KR,Seongnam,https://14.56.101.240:12360,Korea Telecom
https://121.147.34.1:12361,121.147.34.1,12361,https,,,KR,Seongnam,https://121.147.34.1:12361,Korea Telecom
https://211.114.231.248:12360,211.114.231.248,12360,https,,,KR,Seongnam,https://211.114.231.248:12360,Korea Telecom
https://59.1.100.217:12360,59.1.100.217,12360,https,,,KR,Seongnam,https://59.1.100.217:12360,Korea Telecom
https://222.108.221.31:12361,222.108.221.31,12361,https,,,KR,Bucheon,https://222.108.221.31:12361,Korea Telecom
125.138.8.218:12361,125.138.8.218,12361,http,,,KR,Seongnam,http://125.138.8.218:12361,Korea Telecom
https://211.194.211.83:12361,211.194.211.83,12361,https,,,KR,Seongnam,https://211.194.211.83:12361,Korea Telecom
183.104.1.110:12361,183.104.1.110,12361,http,,,KR,Seongnam,http://183.104.1.110:12361,Korea Telecom
119.201.161.141:12361,119.201.161.141,12361,http,,,KR,Gyeongju,http://119.201.161.141:12361,Korea Telecom
168.126.198.208:12361,168.126.198.208,12361,http,,,KR,Seongnam,http://168.126.198.208:12361,Korea Telecom
220.81.3.40:12361,220.81.3.40,12361,http,,,KR,Seongnam,http://220.81.3.40:12361,Korea Telecom
https://118.41.123.124:12361,118.41.123.124,12361,https,,,KR,Seongnam,https://118.41.123.124:12361,Korea Telecom
112.160.42.117:12361,112.160.42.117,12361,http,,,KR,Namdong,http://112.160.42.117:12361,Korea Telecom
https://220.73.122.100:12358,220.73.122.100,12358,https,,,KR,Gangneung,https://220.73.122.100:12358,Korea Telecom
222.236.208.16:12361,222.236.208.16,12361,http,,,KR,Seoul,http://222.236.208.16:12361,SK Broadband Co Ltd
